  Deesis, 51
  Defectus, 31
  Definicio, 58
  Definicion, 45
  Delecio, 28
  Description, 66, 69  {Descripcion}
  Dialisis, 55
  Dialogismus, 69
  Dialyton, 57
  Dianoias, 25
  Diasirmus, 61
  Diazeugma, 30
  Diccion, 26
  Dictio contrarium significans, 46  {Dictio cõtrariũ significans}
  Diminutio, 61
  Disiunctio, 30
  Dissectio, 31
  Dissimulatio, 45
  Dissolutio, 59
  Distribucion, 62
  Diuisio, 55
  Donysis, 68
  Dubitatio, 54

  Eclipsis, 31
  Ectasis, 27
  Effiguracion, 66
  Eleuacio, 61
  Eloquucion, 17
  Energia, 66
  Enthimeme, 93
  Enumeracio, 63
  Epanaphora, 47
  Epanodus, 48
  Epenthesis, 27
  Epergesis, 30
  Epilogus, 55
  Epiphonesis, 50
  Epiplexis, 51
  Epitrope, 55
  Erotema, 52
  Erotesis, 51
  Etymologie, 45
  Euche, 51
  Exaggeration, 71  {exaggerate}
  Example, 74, 75, 88
  Exclamacio, 50
  Execracio, 51
  Exergasia, 93
  Exornacion, 39
  Expeditio, 54
  Expolicion, 93
  Extensio, 27, 37
  Extenuatio, 61

  Faute (fault), 32;
    obscure, 32;
    inordinate, 34;
    barbarous, 35
  Festiua urbanitas, 46
  Ficcion, 72
  Frequentacio, 50
  Fygure, of scheme, 25;
    of diccion, 26;
    of words, 26;
    of construction, 28;
    rethoricall, 47;
    of sentences, 62

  Garnyshyng, 38
  Geographie, 69
  Graciosa nugatio, 46
  Gradacio, 58

  Homiologia, 33
  Homioptoton, 58  {Homioptotõ}
  Homotelento, 58  {Homotelẽto}
  Humiliatio, 34
  Hyperbaton, 30 (last line)
  Hyperbole, 71
  Hypozeugma, 29
  Hysterologia, 31

  Icon, 91
  Image, 91
  Improprietas, 32
  Inconueniens structura, 36
  Increase, 71
  Increpacio, 51
  Indicacio, 92
  Iniunctio, 29
  Inordinate, 34
  Intellectio, 42
  Interpositio, 27, 31
  Interrogacio, 51
  Inuencion, 77;
    proposicions, 77;
    artificial proues, 78;
    unartificial proues, 79, 80;  {Vnartificial}
    circumstances of thynges, 83;
    commonplaces, 86  {Common places}
  Ironia, 45
  Isocolon, 57
  Iunctio, 29

  Lexeos, 25, 26
  Liptote, 61
  Littera pro littera, 28

  Macrologia, 34
  Mala affectatio, 34
  Male collocatum, 35
  Male figuratum, 35
  Media iunctio, 29
  Membrum oracionis, 57
  Mesezeugma, 29
  Metabasis, 59
  Metalepsis, 41
  Metaphora, 40
  Metonomia, 42
  Mimisis, 69
  Miosis, 61
  Morall sentence, 92
  Mouth of God, 93
  Mycterismus, 46

  Necessum, 60
  Nominis communio, 49  {Nominis cõmunio}

  Obscure, 32
  Obtestacio, 51
  Occupatia, 59
  Oictros, 68
  Orismus, 58

  Parable, 90
  Paralepsis, 59
  Paremia, 45
  Parenthesis, 31
  Particio, 62
  Pathopeia, 68, 69
  Periergia, 33
  Periphrasis, 44
  Perissologia, 32
  Permissio, 55
  Pistis, 78
  Pleonasmus, 32
  Postiunctio, 29
  Preassumpcio, 27
  Preiunctio, 29
  Prepostera loquutio, 31
  Presozeugma, 29
  Presumpcio, 28
  Probacions, 78
  Prolepsis, 28
  Pronominacio, 44
  Proparalepsis, 27
  Proportio, 37
  Proposicions, 77
  Proprietie, 37
  Prosapodosis, 53
  Prosopographia, 66
  Prosopopeia, 66, 67, 69  {67 Prosopopey}
  Prosthesis, 26
  Prouerb, 93
  Proues (proof), 78-90

  Raciocinatio, 52
  Reasonynge, 76
  Reduplicatio, 48
  Refractio, 60
  Repeticio, 47;
    inutilis, 33
  Rethoricall, figures, 47;
    diuision, 62
  Reuersio, 31

  Sarcasmus, 46
  Scheme, 3, 25;
    faute of, 32;
    vertue of, 37
  Sedulitas superflua, 33
  Sentence, figures of, 62
  Sermo, superfluus, 32;
    ubique sui similis, 33;
    obscurus, 45
  Silepsis, 30
  Similiter cadens, 58;
    desinens, 58
  Similitudes, 74
  Sinathrismus, 50
  Sinonimia, 49
  Sinthesis, 38
  Solecismus, 36
  Soraismus, 35
  Style, kinds, 21;
    greate, 22;
    small, 23;
    meane, 24
  Subsannatio, 46
  Subiectio, 53
  Superabundancia, 32
  Sygnes, 45, 79
  Symeia, 79
  Symploce, 47
  Syncope, 27
  Synecdoche, 42
  Synolephe, 28
  Systole, 27

